::1 - - [18/Aug/2021:20:40:50 +0000] "GET /plan/2021/08 HTTP/1.1" 500 2169 "http://localhost:4200/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36"
::1 - - [18/Aug/2021:23:15:06 +0000] "GET /plan/2021/08 HTTP/1.1" 401 2131 "http://localhost:4200/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Mobile Safari/537.36"
::1 - - [18/Aug/2021:23:15:36 +0000] "GET /plan/2021/08 HTTP/1.1" 401 2131 "http://localhost:4200/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Mobile Safari/537.36"
::1 - - [18/Aug/2021:23:15:36 +0000] "POST /user/login HTTP/1.1" 200 0 "http://localhost:4200/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Mobile Safari/537.36"
::1 - - [18/Aug/2021:23:15:55 +0000] "GET /plan/2021/08 HTTP/1.1" 401 2131 "http://localhost:4200/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Mobile Safari/537.36"
::1 - - [18/Aug/2021:23:15:55 +0000] "POST /user/login HTTP/1.1" 200 0 "http://localhost:4200/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Mobile Safari/537.36"
::1 - - [18/Aug/2021:23:17:15 +0000] "POST /user/login HTTP/1.1" 500 2158 "http://localhost:4200/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Mobile Safari/537.36"
::1 - - [18/Aug/2021:23:17:15 +0000] "GET /plan/2021/08 HTTP/1.1" 401 2131 "http://localhost:4200/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Mobile Safari/537.36"
::1 - - [18/Aug/2021:23:17:33 +0000] "POST /user/login HTTP/1.1" 500 2158 "http://localhost:4200/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Mobile Safari/537.36"
::1 - - [18/Aug/2021:23:17:33 +0000] "GET /plan/2021/08 HTTP/1.1" 401 2131 "http://localhost:4200/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Mobile Safari/537.36"
::1 - - [18/Aug/2021:23:22:11 +0000] "POST /user/login HTTP/1.1" 500 2187 "http://localhost:4200/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Mobile Safari/537.36"
::1 - - [18/Aug/2021:23:22:11 +0000] "GET /plan/2021/08 HTTP/1.1" 401 2131 "http://localhost:4200/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Mobile Safari/537.36"
::1 - - [18/Aug/2021:23:22:27 +0000] "POST /user/login HTTP/1.1" 500 2187 "http://localhost:4200/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Mobile Safari/537.36"
::1 - - [18/Aug/2021:23:22:27 +0000] "GET /plan/2021/08 HTTP/1.1" 401 2131 "http://localhost:4200/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Mobile Safari/537.36"
::1 - - [18/Aug/2021:23:23:55 +0000] "POST /user/login HTTP/1.1" 500 2187 "http://localhost:4200/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Mobile Safari/537.36"
::1 - - [18/Aug/2021:23:23:55 +0000] "GET /plan/2021/08 HTTP/1.1" 401 2131 "http://localhost:4200/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Mobile Safari/537.36"
::1 - - [18/Aug/2021:23:33:12 +0000] "POST /user/login HTTP/1.1" 500 2187 "http://localhost:4200/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Mobile Safari/537.36"
::1 - - [18/Aug/2021:23:33:12 +0000] "GET /plan/2021/08 HTTP/1.1" 401 2131 "http://localhost:4200/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Mobile Safari/537.36"
::1 - - [18/Aug/2021:23:34:25 +0000] "POST /user/login HTTP/1.1" 200 0 "http://localhost:4200/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Mobile Safari/537.36"
::1 - - [18/Aug/2021:23:34:25 +0000] "GET /plan/2021/08 HTTP/1.1" 401 2131 "http://localhost:4200/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Mobile Safari/537.36"
::1 - - [18/Aug/2021:23:34:54 +0000] "POST /user/login HTTP/1.1" 200 0 "http://localhost:4200/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Mobile Safari/537.36"
::1 - - [18/Aug/2021:23:34:54 +0000] "GET /plan/2021/08 HTTP/1.1" 401 2131 "http://localhost:4200/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Mobile Safari/537.36"
::1 - - [18/Aug/2021:23:35:36 +0000] "POST /user/login HTTP/1.1" 200 0 "http://localhost:4200/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Mobile Safari/537.36"
::1 - - [18/Aug/2021:23:35:36 +0000] "GET /plan/2021/08 HTTP/1.1" 401 2131 "http://localhost:4200/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Mobile Safari/537.36"
::1 - - [18/Aug/2021:23:40:42 +0000] "POST /user/login HTTP/1.1" 200 0 "http://localhost:4200/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Mobile Safari/537.36"
::1 - - [18/Aug/2021:23:40:42 +0000] "GET /plan/2021/08 HTTP/1.1" 401 2131 "http://localhost:4200/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Mobile Safari/537.36"
::1 - - [18/Aug/2021:23:42:53 +0000] "POST /user/login HTTP/1.1" 200 0 "http://localhost:4200/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Mobile Safari/537.36"
::1 - - [18/Aug/2021:23:42:53 +0000] "GET /plan/2021/08 HTTP/1.1" 401 2131 "http://localhost:4200/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Mobile Safari/537.36"
::1 - - [18/Aug/2021:23:45:30 +0000] "POST /user/login HTTP/1.1" 200 0 "http://localhost:4200/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Mobile Safari/537.36"
::1 - - [18/Aug/2021:23:45:30 +0000] "GET /plan/2021/08 HTTP/1.1" 401 2131 "http://localhost:4200/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Mobile Safari/537.36"
