::1 - - [18/Aug/2021:20:40:50 +0000] "GET /plan/2021/08 HTTP/1.1" 500 2169 "http://localhost:4200/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36"
::1 - - [18/Aug/2021:23:02:41 +0000] "GET /plan/2021/08 HTTP/1.1" 401 2131 "http://localhost:4200/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Mobile Safari/537.36"
::1 - - [18/Aug/2021:23:04:50 +0000] "POST /user/login HTTP/1.1" 200 - "http://localhost:4200/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Mobile Safari/537.36"
::1 - - [18/Aug/2021:23:05:45 +0000] "GET /plan/2021/08 HTTP/1.1" 401 2131 "http://localhost:4200/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Mobile Safari/537.36"
::1 - - [18/Aug/2021:23:05:45 +0000] "POST /user/login HTTP/1.1" 200 - "http://localhost:4200/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Mobile Safari/537.36"
::1 - - [18/Aug/2021:23:11:19 +0000] "GET /plan/2021/08 HTTP/1.1" 401 2131 "http://localhost:4200/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Mobile Safari/537.36"
::1 - - [18/Aug/2021:23:11:19 +0000] "POST /user/login HTTP/1.1" 200 - "http://localhost:4200/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Mobile Safari/537.36"
::1 - - [18/Aug/2021:23:12:06 +0000] "GET /plan/2021/08 HTTP/1.1" 401 2131 "http://localhost:4200/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Mobile Safari/537.36"
::1 - - [18/Aug/2021:23:12:06 +0000] "POST /user/login HTTP/1.1" 200 - "http://localhost:4200/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Mobile Safari/537.36"
::1 - - [18/Aug/2021:23:12:23 +0000] "GET /plan/2021/08 HTTP/1.1" 401 2131 "http://localhost:4200/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Mobile Safari/537.36"
::1 - - [18/Aug/2021:23:12:23 +0000] "POST /user/login HTTP/1.1" 200 - "http://localhost:4200/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Mobile Safari/537.36"
::1 - - [18/Aug/2021:23:14:01 +0000] "GET /plan/2021/08 HTTP/1.1" 401 2131 "http://localhost:4200/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Mobile Safari/537.36"
::1 - - [18/Aug/2021:23:14:01 +0000] "POST /user/login HTTP/1.1" 200 0 "http://localhost:4200/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Mobile Safari/537.36"
::1 - - [18/Aug/2021:23:14:20 +0000] "GET /plan/2021/08 HTTP/1.1" 401 2131 "http://localhost:4200/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Mobile Safari/537.36"
::1 - - [18/Aug/2021:23:14:20 +0000] "POST /user/login HTTP/1.1" 200 0 "http://localhost:4200/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Mobile Safari/537.36"
::1 - - [18/Aug/2021:23:15:06 +0000] "POST /user/login HTTP/1.1" 200 0 "http://localhost:4200/" "Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Mobile Safari/537.36"
